63.00,78.00,84.00,83.00,93.00,62.00,44.00,94.00,47.00,19.00
28.00,79.00,89.00,40.00,48.00,74.00,90.00,19.00,27.00,21.00
59.00,36.00,26.00,68.00,56.00,96.00,99.00,54.00,92.00,10.00
72.00,1.00,36.00,28.00,5.00,23.00,44.00,53.00,2.00,1.00
29.00,49.00,65.00,68.00,79.00,37.00,84.00,70.00,97.00,89.00
10.00,28.00,35.00,41.00,60.00,18.00,6.00,41.00,40.00,90.00
5.00,51.00,95.00,30.00,52.00,10.00,47.00,69.00,79.00,62.00
51.00,25.00,50.00,42.00,74.00,9.00,4.00,71.00,84.00,66.00
73.00,4.00,60.00,93.00,93.00,46.00,57.00,34.00,30.00,1.00
29.00,62.00,94.00,12.00,8.00,66.00,79.00,72.00,49.00,26.00
